,hico_det_count,detr_count_0.2,detr_count_0.5,detr_count_0.8,detr_count_0.9,detr_count_0.2_all,detr_count_0.5_all,detr_count_0.8_all,detr_count_0.9_all
person,1811,97706,95384,91958,87955,233603,208689,181077,156282
bicycle,9462,7425,7288,7078,6833,13510,11958,10376,9347
car,2415,2131,2064,1979,1880,24122,20097,15941,13119
motorcycle,7249,4859,4744,4609,4419,7755,6956,6200,5639
airplane,1665,1412,1391,1347,1278,2047,1812,1638,1499
bus,3587,2626,2564,2425,2293,3959,3608,3202,2944
train,1396,1205,1182,1126,1070,1590,1467,1329,1229
truck,1086,975,955,914,881,6644,5204,3714,2858
boat,10369,5834,5688,5423,4974,10995,9447,7934,6798
traffic_light,800,452,448,437,413,3928,3173,2485,2069
fire_hydrant,287,336,332,324,317,572,502,455,418
stop_sign,77,86,86,85,84,478,370,272,237
parking_meter,332,244,234,225,220,562,472,400,357
bench,2352,3482,3392,3267,3129,10914,7925,5663,4717
bird,974,606,596,582,561,2525,2193,1951,1758
cat,470,464,451,431,408,770,693,639,592
dog,1386,1444,1412,1360,1317,2731,2483,2258,2122
horse,4889,4163,4082,3991,3882,5758,5199,4760,4484
sheep,1675,1035,1021,981,925,2281,2094,1887,1626
cow,1131,986,956,913,874,2117,1855,1588,1395
elephant,1642,1507,1474,1430,1385,2011,1855,1699,1605
bear,185,176,172,167,159,207,200,182,169
zebra,92,93,91,85,79,133,123,111,98
giraffe,717,722,703,663,637,936,854,776,720
backpack,2228,2270,2121,1957,1815,12196,8037,5452,4208
umbrella,4396,3423,3363,3250,3102,7227,6330,5347,4639
handbag,275,371,354,334,312,16103,9786,5621,3864
tie,1236,1484,1456,1423,1360,6948,5484,4408,3810
suitcase,1447,948,930,896,850,2487,1888,1464,1239
frisbee,1207,1468,1453,1432,1413,1998,1843,1735,1672
skis,2949,2155,2080,1978,1875,4247,3342,2669,2298
snowboard,2622,1578,1535,1478,1436,2573,2116,1809,1676
sports_ball,1689,1799,1784,1760,1737,3495,3033,2708,2526
kite,2345,1883,1852,1803,1736,4323,3936,3511,3172
baseball_bat,1863,1348,1323,1295,1267,2245,1936,1674,1543
baseball_glove,408,386,379,372,355,2100,1523,1135,996
skateboard,5594,4936,4879,4817,4751,7180,6306,5739,5481
surfboard,1178,1113,1092,1067,1042,2098,1774,1512,1352
tennis_racket,562,553,550,544,535,1005,823,703,645
bottle,1479,1338,1295,1236,1173,11047,9222,7336,5905
wine_glass,988,1201,1152,1104,1049,4360,4009,3625,3287
cup,1057,745,718,675,641,8939,7905,6733,5953
fork,419,273,265,250,244,1405,1161,944,799
knife,1451,927,893,836,795,2921,2397,1941,1652
spoon,504,384,373,353,332,1717,1409,1108,902
bowl,177,243,232,224,212,4805,4164,3400,2922
banana,1358,921,885,836,812,2795,2414,1921,1498
apple,429,438,432,416,398,1764,1488,1148,901
sandwich,448,465,451,425,389,1123,944,744,612
orange,186,92,90,88,84,589,524,396,307
broccoli,121,121,118,118,114,436,351,273,227
carrot,441,351,340,320,308,1299,1088,798,626
hot_dog,735,520,507,484,472,1133,1000,800,670
pizza,706,750,730,714,688,1544,1386,1249,1134
donut,868,692,681,665,640,1811,1607,1376,1147
cake,1238,1529,1488,1440,1393,2700,2384,2094,1915
chair,1838,2229,2150,2010,1855,22366,18036,13189,10101
couch,1224,1735,1675,1596,1496,3874,3124,2501,2117
potted_plant,262,195,187,178,165,3885,3000,2168,1617
bed,517,831,809,763,703,2102,1603,1209,1002
dining_table,5787,4319,4269,4178,4026,10853,9182,7415,6314
toilet,200,310,300,285,269,506,437,371,333
tv,529,525,516,497,475,1890,1579,1260,1095
laptop,1337,1580,1546,1494,1435,2760,2471,2186,2018
mouse,146,149,142,137,130,509,419,346,296
remote,272,290,281,268,255,1230,861,602,491
keyboard,417,531,511,495,462,1207,1018,803,661
cell_phone,1277,943,927,897,868,6459,4251,3019,2420
microwave,31,51,50,48,47,288,220,166,144
oven,213,224,215,205,189,760,560,425,342
toaster,7,8,8,5,5,36,27,15,14
sink,102,142,139,130,121,678,506,370,303
refrigerator,102,140,133,130,127,558,420,337,293
book,2424,1617,1550,1470,1371,10230,8613,6250,3107
clock,606,478,471,460,432,2223,1680,1280,1037
vase,215,188,184,179,171,1124,892,689,557
scissors,509,410,396,365,348,833,680,518,465
teddy_bear,529,600,584,564,537,1196,1009,843,733
hair_drier,102,87,83,77,71,177,141,104,86
toothbrush,572,578,560,547,525,1117,935,795,710
